profile,scale,tier,cpu,cpuNote,gpu,gpuNote,ram,ramNote,storage,price
modeling,small,value,x3d,"AMD's 3D V-Cache tops Puget's Revit benchmarks, but Intel trails by a few percent. Shop on price.",rtx5070,"More powerful than Revit needs, but enough for Enscape.",64 GB DDR5,"Enough to run Revit with linked models and other programs at the same time.",2 TB NVMe,"$1,900--$2,300"
modeling,small,best,x3d,"AMD's X3D is the fastest chip for Revit.",rtx5070ti,"16 GB of VRAM. Enough for Enscape if your work includes client visualization.",64 GB DDR5,"Plenty for a single building with everything else open.",2 TB NVMe,"$2,600--$3,100"
modeling,large,cheapest,x3d,"AMD's X3D is the fastest for Revit. The Intel 265K lags a little but costs less and still does fine on large models.",rtx5070,"Large models can exceed 8 GB of VRAM in Rhino. 12 GB keeps the viewport stable.",64 GB DDR5,"The minimum I would buy for large-model work.",2 TB NVMe,"$2,100--$2,500"
modeling,large,value,x3d,"AMD's X3D is the fastest for Revit. The Intel 265K lags a little but costs less and still does fine on large models.",rtx5070,"More than large-model modeling needs, but enough for Enscape.",128 GB DDR5,"Keeps large linked models and consultants open at once.",2 TB NVMe,"$2,600--$3,100"
modeling,large,best,x3d,"AMD's X3D is the fastest chip for Revit.",rtx5070ti,"16 GB of VRAM. Enough for Enscape walkthroughs of large models.",128 GB DDR5,"500 MB+ models with full consultant links.",4 TB NVMe,"$3,100--$3,700"
viz,small,cheapest,x3d,"Plenty for loading scenes. Pick on price.",rtx5070,"12 GB of VRAM is the cheapest GPU that handles real scenes.",32 GB DDR5,"32 GB to load typical scenes.",1 TB NVMe,"$1,900--$2,300"
viz,small,value,x3d,"Loads scenes fast. Either brand is fine.",rtx5070ti,"16 GB of VRAM. The best value in real-time visualization right now.",64 GB DDR5,"64 GB for larger scenes and assets.",2 TB NVMe,"$2,400--$2,900"
viz,small,best,top,"16 CPU cores load and process scenes fast.",rtx5090,"32 GB of VRAM. Maximum real-time performance, enough for VR and large scenes.",64 GB DDR5,"64 GB for large scenes.",2 TB NVMe,"$4,500--$5,500"
viz,large,cheapest,top,"The cheapest CPU I'd trust with large scenes.",rtx5070ti,"16 GB of VRAM is what large scenes need.",64 GB DDR5,"64 GB works, but you'll watch scene size.",2 TB NVMe,"$2,700--$3,200"
viz,large,value,top,"16 CPU cores load large scenes faster.",rtx5080,"16 GB of VRAM for large scenes with dense geometry.",128 GB DDR5,"128 GB. Visualization loads the whole scene into memory.",2 TB NVMe,"$3,200--$3,800"
viz,large,best,top,"The most CPU cores, for the largest scenes.",rtx5090,"32 GB of VRAM handles even large urban and masterplan scenes. Real-time visualization tops out near 24 GB, so you won't need a Pro GPU.",128 GB DDR5,"128 GB so the whole scene stays in memory.",4 TB NVMe,"$5,000--$6,000"
modeling_viz,small,cheapest,x3d,"The X3D favors the modeling side. Single-core speed for Revit and Rhino.",rtx5070,"A 5070 is enough to start real-time visualization without overspending.",64 GB DDR5,"64 GB to run a model and a scene together.",2 TB NVMe,"$2,100--$2,500"
modeling_viz,small,value,mixed_x3d,"AMD's 9950X3D. 16 cores for visualization, X3D cache for modeling.",rtx5070ti,"16 GB of VRAM handles both modeling and real visualization.",64 GB DDR5,"64 GB for a model plus a visualization scene.",2 TB NVMe,"$2,300--$2,800"
modeling_viz,small,best,top_x3d,"AMD's 9950X3D2. Dual V-Cache and 16 cores for both at once.",rtx5080,"16 GB of VRAM. Serious visualization without the 5090's price.",64 GB DDR5,"64 GB for model and scene together.",2 TB NVMe,"$3,000--$3,600"
modeling_viz,large,cheapest,mixed_x3d,"The 9950X3D's 16 cores and X3D cache handle large mixed work.",rtx5070,"A 5070 will do, but this is where I stop cutting the GPU.",64 GB DDR5,"64 GB if you keep big models and scenes in check.",2 TB NVMe,"$2,500--$3,000"
modeling_viz,large,value,mixed_x3d,"The 9950X3D pairs 16 cores for visualization with X3D cache for large models.",rtx5070ti,"16 GB of VRAM for visualizing large models.",128 GB DDR5,"128 GB. A large model and a scene open together use a lot.",2 TB NVMe,"$2,800--$3,400"
modeling_viz,large,best,top_x3d,"AMD's 9950X3D2. Dual V-Cache and 16 cores for the largest mixed work.",rtx5090,"32 GB of VRAM. No limits on model or scene size.",128 GB DDR5,"128 GB for the largest model-plus-scene work.",4 TB NVMe,"$5,000--$6,000"
production,small,cheapest,render12,"12 cores is where a render box starts to make sense.",rtx5070,"A 5070 is enough for hybrid GPU rendering without overspending.",64 GB DDR5,"64 GB to hold scenes while rendering.",2 TB NVMe,"$2,300--$2,800"
production,small,value,render16,"16 cores cut render times over 12.",rtx5070ti,"16 GB of VRAM for hybrid rendering and visualization.",64 GB DDR5,"64 GB to hold scenes while rendering.",2 TB NVMe,"$2,600--$3,100"
production,small,best,render_max,"16 cores cover most rendering. Threadripper PRO goes further on a dedicated render box.",rtx5090,"32 GB of VRAM covers almost all GPU rendering. The largest scenes can exceed it, but V-Ray pages the overflow to system memory.",128 GB DDR5,"128 GB so large scenes load fully before rendering.",4 TB NVMe,"$5,000--$6,000"
production,large,cheapest,render16,"The cheapest chip I'd trust with large production scenes.",rtx5070ti,"16 GB of VRAM still covers serious hybrid rendering.",64 GB DDR5,"64 GB works, but you'll watch scene size at this level.",2 TB NVMe,"$2,900--$3,400"
production,large,value,render16,"Large scenes render longer, so the 16 cores matter more here.",rtx5080,"16 GB of VRAM for GPU rendering of large scenes.",128 GB DDR5,"128 GB. V-Ray loads the whole scene into memory before rendering.",4 TB NVMe,"$3,400--$4,000"
production,large,best,render_max,"Threadripper PRO scales past 16 cores for the largest render jobs.",rtx5090,"32 GB fits even large scenes, and V-Ray pages anything bigger to system memory. For the largest GPU rendering jobs, like point clouds and reality capture, an RTX PRO GPU's larger VRAM keeps it all on the GPU.",128 GB DDR5,"128 GB for the largest scenes and assets.",4 TB NVMe,"$5,200--$6,200"
